ID,Titulo,Artista,Idioma,Categoria,Imagen_URL,Enlace_Letra,Cancion_Original
323,Cacho A Cacho,Estopa,ES,General,,https://genius.com/search?q=ESTOPA%20CACHO%20A%20CACHO,ESTOPA CACHO A CACHO
324,Como Camarón,Estopa,ES,General,,https://genius.com/search?q=ESTOPA%20COMO%20CAMAR%C3%93N,ESTOPA COMO CAMARÓN
325,El Del Medio De Los Chichos,Estopa,ES,General,,https://genius.com/search?q=ESTOPA%20EL%20DEL%20MEDIO%20DE%20LOS%20CHICHOS,ESTOPA EL DEL MEDIO DE LOS CHICHOS
326,Fuente De Energia,Estopa,ES,General,,https://genius.com/search?q=ESTOPA%20FUENTE%20DE%20ENERGIA,ESTOPA FUENTE DE ENERGIA
327,La Raja De Tu Falda,Estopa,ES,General,,https://genius.com/search?q=ESTOPA%20LA%20RAJA%20DE%20TU%20FALDA,ESTOPA LA RAJA DE TU FALDA
328,Malabares,Estopa,ES,General,,https://genius.com/search?q=ESTOPA%20MALABARES,ESTOPA MALABARES
329,Partiendo La Pana,Estopa,ES,General,,https://genius.com/search?q=ESTOPA%20PARTIENDO%20LA%20PANA,ESTOPA PARTIENDO LA PANA
330,Pastillas De Freno,Estopa,ES,General,,https://genius.com/search?q=ESTOPA%20PASTILLAS%20DE%20FRENO,ESTOPA PASTILLAS DE FRENO
331,Tragicomedia,Estopa,ES,General,,https://genius.com/search?q=ESTOPA%20TRAGICOMEDIA,ESTOPA TRAGICOMEDIA
332,Tu Calorro,Estopa,ES,General,,https://genius.com/search?q=ESTOPA%20TU%20CALORRO,ESTOPA TU CALORRO
333,Vino Tinto,Estopa,ES,General,,https://genius.com/search?q=ESTOPA%20VINO%20TINTO,ESTOPA VINO TINTO
334,Y R Flores Suena El Rum Rum,Estopa,ES,General,,https://genius.com/search?q=ESTOPA%20y%20R%20FLORES%20SUENA%20EL%20RUM%20RUM,ESTOPA y R FLORES SUENA EL RUM RUM
335,Bribriblibli,Extremoduro,ES,General,,https://genius.com/search?q=EXTREMODURO%20BRIBRIBLIBLI,EXTREMODURO BRIBRIBLIBLI
336,Jesucristo Garcia,Extremoduro,ES,General,,https://genius.com/search?q=EXTREMODURO%20JESUCRISTO%20GARCIA,EXTREMODURO JESUCRISTO GARCIA
337,La Vereda De La Puerta De Atras,Extremoduro,ES,General,,https://genius.com/search?q=EXTREMODURO%20LA%20VEREDA%20DE%20LA%20PUERTA%20DE%20ATRAS,EXTREMODURO LA VEREDA DE LA PUERTA DE ATRAS
338,So Payaso,Extremoduro,ES,General,,https://genius.com/search?q=EXTREMODURO%20SO%20PAYASO,EXTREMODURO SO PAYASO
339,Stand By,Extremoduro,ES,General,,https://genius.com/search?q=EXTREMODURO%20STAND%20BY,EXTREMODURO STAND BY
340,Fernando Esteso La Ramona,,ES,General,,https://genius.com/search?q=FERNANDO%20ESTESO%20LA%20RAMONA,FERNANDO ESTESO LA RAMONA
341,Fitipaldis Acabo De Llegar,Fito Y Los,ES,General,,https://genius.com/search?q=FITO%20Y%20LOS%20FITIPALDIS%20ACABO%20DE%20LLEGAR,FITO Y LOS FITIPALDIS ACABO DE LLEGAR
342,Fitipaldis Antes De Que Cuente Diez,Fito Y Los,ES,General,,https://genius.com/search?q=FITO%20Y%20LOS%20FITIPALDIS%20ANTES%20DE%20QUE%20CUENTE%20DIEZ,FITO Y LOS FITIPALDIS ANTES DE QUE CUENTE DIEZ
343,Fitipaldis Corazon Oxidado,Fito Y Los,ES,General,,https://genius.com/search?q=FITO%20Y%20LOS%20FITIPALDIS%20CORAZON%20OXIDADO,FITO Y LOS FITIPALDIS CORAZON OXIDADO
344,Fitipaldis Entre La Espada Y La Pared,Fito Y Los,ES,General,,https://genius.com/search?q=FITO%20Y%20LOS%20FITIPALDIS%20ENTRE%20LA%20ESPADA%20Y%20LA%20PARED,FITO Y LOS FITIPALDIS ENTRE LA ESPADA Y LA PARED
345,Fitipaldis La Casa Por El Tejado,Fito Y Los,ES,General,,https://genius.com/search?q=FITO%20Y%20LOS%20FITIPALDIS%20LA%20CASA%20POR%20EL%20TEJADO,FITO Y LOS FITIPALDIS LA CASA POR EL TEJADO
346,Fitipaldis Me Equivocaria Otra Vez,Fito Y Los,ES,General,,https://genius.com/search?q=FITO%20Y%20LOS%20FITIPALDIS%20ME%20EQUIVOCARIA%20OTRA%20VEZ,FITO Y LOS FITIPALDIS ME EQUIVOCARIA OTRA VEZ
347,Fitipaldis Para Toda La Vida,Fito Y Los,ES,General,,https://genius.com/search?q=FITO%20Y%20LOS%20FITIPALDIS%20PARA%20TODA%20LA%20VIDA,FITO Y LOS FITIPALDIS PARA TODA LA VIDA
348,Fitipaldis Soldadito Marinero,Fito Y Los,ES,General,,https://genius.com/search?q=FITO%20Y%20LOS%20FITIPALDIS%20SOLDADITO%20MARINERO,FITO Y LOS FITIPALDIS SOLDADITO MARINERO
349,Fitipaldis Whisky Barato,Fito Y Los,ES,General,,https://genius.com/search?q=FITO%20Y%20LOS%20FITIPALDIS%20WHISKY%20BARATO,FITO Y LOS FITIPALDIS WHISKY BARATO
350,Te Quiero Mas,Formula Abierta,ES,General,,https://genius.com/search?q=FORMULA%20ABIERTA%20TE%20QUIERO%20MAS,FORMULA ABIERTA TE QUIERO MAS
351,Carolina,Formula V,ES,General,,https://genius.com/search?q=FORMULA%20V%20CAROLINA,FORMULA V CAROLINA
352,En La Fiesta De Blas,Formula V,ES,General,,https://genius.com/search?q=FORMULA%20V%20EN%20LA%20FIESTA%20DE%20BLAS,FORMULA V EN LA FIESTA DE BLAS
353,Eva Maria,Formula V,ES,General,,https://genius.com/search?q=FORMULA%20V%20EVA%20MARIA,FORMULA V EVA MARIA
354,Eva Maria Se Fue,Formula V,ES,General,,https://genius.com/search?q=FORMULA%20V%20EVA%20MARIA%20SE%20FUE,FORMULA V EVA MARIA SE FUE
355,La Fiesta De Blas,Formula V,ES,General,,https://genius.com/search?q=FORMULA%20V%20LA%20FIESTA%20DE%20BLAS,FORMULA V LA FIESTA DE BLAS
356,Popurri Formula V,Formula V,ES,General,,https://genius.com/search?q=FORMULA%20V%20POPURRI%20FORMULA%20V,FORMULA V POPURRI FORMULA V
357,Francisco Cespedes Vida Loca,,ES,General,,https://genius.com/search?q=FRANCISCO%20CESPEDES%20VIDA%20LOCA,FRANCISCO CESPEDES VIDA LOCA
358,Franco Battiato Yo Quiero Verte Danzar,,ES,General,,https://genius.com/search?q=FRANCO%20BATTIATO%20YO%20QUIERO%20VERTE%20DANZAR,FRANCO BATTIATO YO QUIERO VERTE DANZAR
359,Frank Sinatra A Mi Manera,,ES,General,,https://genius.com/search?q=FRANK%20SINATRA%20A%20MI%20MANERA,FRANK SINATRA A MI MANERA
360,Frank Sinatra New York (Español),,ES,General,,https://genius.com/search?q=FRANK%20SINATRA%20NEW%20YORK%20%28ESPA%C3%91OL%29,FRANK SINATRA NEW YORK (ESPAÑOL)
361,Amor Amor Amor,Funambulista,ES,General,,https://genius.com/search?q=FUNAMBULISTA%20AMOR%20AMOR%20AMOR,FUNAMBULISTA AMOR AMOR AMOR
362,Eramos Reyes,Funambulista,ES,General,,https://genius.com/search?q=FUNAMBULISTA%20ERAMOS%20REYES,FUNAMBULISTA ERAMOS REYES
363,Esa Luz,Funambulista,ES,General,,https://genius.com/search?q=FUNAMBULISTA%20ESA%20LUZ,FUNAMBULISTA ESA LUZ
364,Familia,Funambulista,ES,General,,https://genius.com/search?q=FUNAMBULISTA%20FAMILIA,FUNAMBULISTA FAMILIA
365,La Vida De Antes,Funambulista,ES,General,,https://genius.com/search?q=FUNAMBULISTA%20LA%20VIDA%20DE%20ANTES,FUNAMBULISTA LA VIDA DE ANTES
366,Solo Luz,Funambulista,ES,General,,https://genius.com/search?q=FUNAMBULISTA%20SOLO%20LUZ,FUNAMBULISTA SOLO LUZ
367,Camino Soria,Gabinete Caligari,ES,General,,https://genius.com/search?q=GABINETE%20CALIGARI%20CAMINO%20SORIA,GABINETE CALIGARI CAMINO SORIA
